Month,Quarter,Region_Code,Region_Name,Org_ONS_Code,Org_Name,Age,Eligible,Screened,Coverage(%),No. screens to reach 80%,National Rank,National_Coverage(%),Coverage_Change
2021-03-31,2020-21 Q4,E12000007,London,E09000002,Barking and Dagenham,25-49,48839,30257,61.952537931,8815.0,125,67.9,-3.659349823
2021-03-31,2020-21 Q4,E12000007,London,E09000003,Barnet,25-49,91231,53327,58.452718922,19658.0,137,67.9,-2.664179739
2021-03-31,2020-21 Q4,E12000003,Yorkshire and The Humber,E08000016,Barnsley,25-49,40834,30664,75.094284175,2004.0,21,67.9,-0.878978643
2021-03-31,2020-21 Q4,E12000009,South West,E06000022,Bath and North East Somerset,25-49,32147,23009,71.57433042,2709.0,62,67.9,-2.032903083
2021-03-31,2020-21 Q4,E12000006,East of England,E06000055,Bedford,25-49,34317,23398,68.181950637,4056.0,92,67.9,-1.691519721
2021-03-31,2020-21 Q4,E12000007,London,E09000004,Bexley,25-49,45729,33009,72.18395329,3575.0,51,67.9,-2.254046053
2021-03-31,2020-21 Q4,E12000005,West Midlands,E08000025,Birmingham,25-49,230216,137314,59.645724016,46859.0,130,67.9,-2.676284588
2021-03-31,2020-21 Q4,E12000002,North West,E06000008,Blackburn with Darwen,25-49,27816,17662,63.495829738,4591.0,115,67.9,-4.272407508
2021-03-31,2020-21 Q4,E12000002,North West,E06000009,Blackpool,25-49,23670,16129,68.141106886,2807.0,93,67.9,-1.99188868
2021-03-31,2020-21 Q4,E12000002,North West,E08000001,Bolton,25-49,52170,35751,68.527889592,5985.0,90,67.9,-2.168102139
2021-03-31,2020-21 Q4,E12000009,South West,E06000058,"Bournemouth, Christchurch and Poole",25-49,69825,48735,69.795918367,7125.0,81,67.9,-1.636342289
2021-03-31,2020-21 Q4,E12000008,South East,E06000036,Bracknell Forest,25-49,23291,16918,72.637499463,1715.0,45,67.9,-3.018012949
2021-03-31,2020-21 Q4,E12000003,Yorkshire and The Humber,E08000032,Bradford,25-49,100167,64147,64.040053111,15987.0,112,67.9,-2.955306517
2021-03-31,2020-21 Q4,E12000007,London,E09000005,Brent,25-49,88191,47760,54.155185903,22793.0,144,67.9,-2.998933585
2021-03-31,2020-21 Q4,E12000008,South East,E06000043,Brighton and Hove,25-49,62099,38742,62.387478059,10938.0,121,67.9,-2.508966371
2021-03-31,2020-21 Q4,E12000009,South West,E06000023,"Bristol, City of",25-49,104062,71133,68.356364475,12117.0,91,67.9,-1.310160507
2021-03-31,2020-21 Q4,E12000007,London,E09000006,Bromley,25-49,65081,46247,71.060678232,5818.0,72,67.9,-1.986202763
2021-03-31,2020-21 Q4,E12000008,South East,E06000060,Buckinghamshire,25-49,94797,66280,69.917824404,9558.0,79,67.9,-2.57981011
2021-03-31,2020-21 Q4,E12000002,North West,E08000002,Bury,25-49,34410,24214,70.369078756,3314.0,77,67.9,-2.21446731
2021-03-31,2020-21 Q4,E12000003,Yorkshire and The Humber,E08000033,Calderdale,25-49,35426,25396,71.687461187,2945.0,61,67.9,-2.839651045
2021-03-31,2020-21 Q4,E12000006,East of England,E10000003,Cambridgeshire,25-49,128377,84940,66.164499871,17762.0,102,67.9,-1.833583893
2021-03-31,2020-21 Q4,E12000007,London,E09000007,Camden,25-49,69998,32607,46.582759507,23392.0,148,67.9,-3.860087365
2021-03-31,2020-21 Q4,E12000006,East of England,E06000056,Central Bedfordshire,25-49,50811,38349,75.473814725,2300.0,18,67.9,-1.641801493
2021-03-31,2020-21 Q4,E12000002,North West,E06000049,Cheshire East,25-49,63107,47044,74.546405312,3442.0,26,67.9,-1.487169831
2021-03-31,2020-21 Q4,E12000002,North West,E06000050,Cheshire West and Chester,25-49,57716,43037,74.566844549,3136.0,25,67.9,-1.335892278
2021-03-31,2020-21 Q4,E12000007,London,E09000001,City of London,25-49,2324,1050,45.180722892,810.0,149,67.9,-5.62019244
2021-03-31,2020-21 Q4,E12000009,South West,E06000052,Cornwall,25-49,84211,61395,72.906152403,5974.0,43,67.9,-2.974599908
2021-03-31,2020-21 Q4,E12000001,North East,E06000047,County Durham,25-49,81119,61159,75.394173991,3737.0,19,67.9,-1.512584886
2021-03-31,2020-21 Q4,E12000005,West Midlands,E08000026,Coventry,25-49,67048,42342,63.151771865,11297.0,118,67.9,-1.904029356
2021-03-31,2020-21 Q4,E12000007,London,E09000008,Croydon,25-49,85093,55272,64.954814145,12803.0,105,67.9,-2.362033172
2021-03-31,2020-21 Q4,E12000002,North West,E10000006,Cumbria,25-49,73164,56252,76.884806736,2280.0,7,67.9,-1.973855568
2021-03-31,2020-21 Q4,E12000001,North East,E06000005,Darlington,25-49,17657,13343,75.567763493,783.0,16,67.9,-1.71146732
2021-03-31,2020-21 Q4,E12000004,East Midlands,E06000015,Derby,25-49,47449,32323,68.121562098,5637.0,94,67.9,-2.726490701
2021-03-31,2020-21 Q4,E12000004,East Midlands,E10000007,Derbyshire,25-49,123108,96258,78.189882055,2229.0,1,67.9,-1.938484726
2021-03-31,2020-21 Q4,E12000009,South West,E10000008,Devon,25-49,115731,87035,75.204569217,5550.0,20,67.9,-2.041956505
2021-03-31,2020-21 Q4,E12000003,Yorkshire and The Humber,E08000017,Doncaster,25-49,51386,36670,71.361849531,4439.0,65,67.9,-2.076654705
2021-03-31,2020-21 Q4,E12000009,South West,E06000059,Dorset,25-49,49258,37757,76.651508384,1650.0,8,67.9,-1.49526309
2021-03-31,2020-21 Q4,E12000005,West Midlands,E08000027,Dudley,25-49,52102,37440,71.859045718,4242.0,58,67.9,-1.686812355
2021-03-31,2020-21 Q4,E12000007,London,E09000009,Ealing,25-49,91784,54541,59.423211017,18887.0,132,67.9,-1.503471229
2021-03-31,2020-21 Q4,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,25-49,48161,37082,76.995909553,1447.0,3,67.9,-1.969163747
2021-03-31,2020-21 Q4,E12000008,South East,E10000011,East Sussex,25-49,80751,58213,72.089509727,6388.0,52,67.9,-2.22214268
2021-03-31,2020-21 Q4,E12000007,London,E09000010,Enfield,25-49,70564,45172,64.015645372,11280.0,113,67.9,-2.469171338
2021-03-31,2020-21 Q4,E12000006,East of England,E10000012,Essex,25-49,252493,185643,73.524018488,16352.0,37,67.9,-1.554322746
2021-03-31,2020-21 Q4,E12000001,North East,E08000037,Gateshead,25-49,33374,24913,74.647929526,1787.0,24,67.9,-1.070777694
2021-03-31,2020-21 Q4,E12000009,South West,E10000013,Gloucestershire,25-49,101575,76923,75.730248585,4337.0,14,67.9,-1.057842066
2021-03-31,2020-21 Q4,E12000007,London,E09000011,Greenwich,25-49,69902,43680,62.487482475,12242.0,120,67.9,-3.524575845
2021-03-31,2020-21 Q4,E12000007,London,E09000012,Hackney,25-49,84684,51090,60.330168627,16658.0,129,67.9,-1.633065355
2021-03-31,2020-21 Q4,E12000002,North West,E06000006,Halton,25-49,22198,15965,71.920893774,1794.0,57,67.9,-1.858361425
2021-03-31,2020-21 Q4,E12000007,London,E09000013,Hammersmith and Fulham,25-49,62774,30825,49.104724886,19395.0,147,67.9,-2.48627584
2021-03-31,2020-21 Q4,E12000008,South East,E10000014,Hampshire,25-49,224367,165949,73.963194231,13545.0,33,67.9,-2.211604942
2021-03-31,2020-21 Q4,E12000007,London,E09000014,Haringey,25-49,75068,44335,59.059785794,15720.0,135,67.9,-2.727585546
2021-03-31,2020-21 Q4,E12000007,London,E09000015,Harrow,25-49,57578,32527,56.492062941,13536.0,142,67.9,-2.981575251
2021-03-31,2020-21 Q4,E12000001,North East,E06000001,Hartlepool,25-49,14904,11035,74.040526033,889.0,31,67.9,-1.375246499
2021-03-31,2020-21 Q4,E12000007,London,E09000016,Havering,25-49,48074,34306,71.360818738,4154.0,66,67.9,-1.549524357
2021-03-31,2020-21 Q4,E12000005,West Midlands,E06000019,"Herefordshire, County of",25-49,26620,18845,70.792637115,2451.0,74,67.9,-2.368187317
2021-03-31,2020-21 Q4,E12000006,East of England,E10000015,Hertfordshire,25-49,224997,162425,72.18985142,17573.0,50,67.9,-1.522068843
2021-03-31,2020-21 Q4,E12000007,London,E09000017,Hillingdon,25-49,65212,41227,63.219959517,10943.0,117,67.9,-1.724558766
2021-03-31,2020-21 Q4,E12000007,London,E09000018,Hounslow,25-49,71062,41985,59.082209901,14865.0,134,67.9,-2.04196795
2021-03-31,2020-21 Q4,E12000008,South East,E06000046,Isle of Wight,25-49,18921,13490,71.296443106,1647.0,69,67.9,-2.475607174
2021-03-31,2020-21 Q4,E12000009,South West,E06000053,Isles of Scilly,25-49,431,301,69.837587007,44.0,80,67.9,-1.298776629
2021-03-31,2020-21 Q4,E12000007,London,E09000019,Islington,25-49,75312,39769,52.80566178,20481.0,145,67.9,-3.580672873
2021-03-31,2020-21 Q4,E12000007,London,E09000020,Kensington and Chelsea,25-49,44063,18916,42.929441935,16335.0,151,67.9,-3.484535802
2021-03-31,2020-21 Q4,E12000008,South East,E10000016,Kent,25-49,262671,187760,71.481054247,22377.0,63,67.9,-2.311845253
