CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_Name,Org_Type,Indicator,Part,Inadequate,Negative,Borderline_changes,Mild_dyskaryosis,Moderate_dyskaryosis,Severe_dyskaryosis,Severe_dyskaryosis_Inv,Glandular_neoplasia,Highgrade_dyskaryosis_severe_worse
2013-14,E92000001,England,E92000001,England,National,<20,B,24.0,482.0,59.0,67.0,11.0,5.0,5.0,2.0,not included
2013-14,E92000001,England,E92000001,England,National,20-24,B,1939.0,80208.0,4895.0,5584.0,1589.0,2262.0,41.0,70.0,not included
2013-14,E92000001,England,E92000001,England,National,25-29,B,11548.0,469930.0,22011.0,23537.0,6287.0,8851.0,198.0,352.0,not included
2013-14,E92000001,England,E92000001,England,National,30-34,B,10756.0,442001.0,13890.0,12300.0,2803.0,3887.0,120.0,241.0,not included
2013-14,E92000001,England,E92000001,England,National,35-39,B,9896.0,405453.0,10520.0,7939.0,1724.0,2118.0,106.0,164.0,not included
2013-14,E92000001,England,E92000001,England,National,40-44,B,10382.0,441138.0,10747.0,7173.0,1262.0,1422.0,96.0,143.0,not included
2013-14,E92000001,England,E92000001,England,National,45-49,B,9618.0,436949.0,9921.0,6288.0,884.0,940.0,71.0,98.0,not included
2013-14,E92000001,England,E92000001,England,National,50-54,B,7356.0,280239.0,5961.0,3666.0,525.0,521.0,50.0,69.0,not included
2013-14,E92000001,England,E92000001,England,National,55-59,B,8690.0,240751.0,3600.0,1985.0,345.0,389.0,44.0,53.0,not included
2013-14,E92000001,England,E92000001,England,National,60-64,B,4777.0,119917.0,1543.0,927.0,159.0,198.0,26.0,31.0,not included
2013-14,E92000001,England,E92000001,England,National,65-69,B,511.0,10812.0,308.0,208.0,28.0,39.0,10.0,2.0,not included
2013-14,E92000001,England,E92000001,England,National,70-74,B,76.0,1557.0,44.0,42.0,3.0,4.0,2.0,2.0,not included
2013-14,E92000001,England,E92000001,England,National,>=75,B,29.0,425.0,22.0,11.0,4.0,1.0,2.0,1.0,not included
2014-15,E92000001,England,E92000001,England,National,<20,B,13.0,367.0,36.0,53.0,1.0,3.0,0.0,0.0,not included
2014-15,E92000001,England,E92000001,England,National,20-24,B,2231.0,97265.0,5330.0,6859.0,1939.0,2688.0,50.0,92.0,not included
2014-15,E92000001,England,E92000001,England,National,25-29,B,10093.0,412694.0,17848.0,21330.0,5735.0,8339.0,164.0,331.0,not included
2014-15,E92000001,England,E92000001,England,National,30-34,B,10266.0,408783.0,12163.0,11484.0,2658.0,4137.0,108.0,301.0,not included
2014-15,E92000001,England,E92000001,England,National,35-39,B,9554.0,389501.0,9179.0,7725.0,1577.0,2203.0,97.0,193.0,not included
2014-15,E92000001,England,E92000001,England,National,40-44,B,9970.0,417145.0,9262.0,6774.0,1131.0,1501.0,80.0,154.0,not included
2014-15,E92000001,England,E92000001,England,National,45-49,B,9895.0,428453.0,9031.0,6144.0,895.0,1008.0,53.0,111.0,not included
2014-15,E92000001,England,E92000001,England,National,50-54,B,7779.0,279912.0,5425.0,3624.0,522.0,517.0,35.0,72.0,not included
2014-15,E92000001,England,E92000001,England,National,55-59,B,8289.0,204659.0,2959.0,1771.0,302.0,397.0,37.0,28.0,not included
2014-15,E92000001,England,E92000001,England,National,60-64,B,5912.0,134815.0,1608.0,844.0,180.0,175.0,35.0,17.0,not included
2014-15,E92000001,England,E92000001,England,National,65-69,B,405.0,8607.0,210.0,167.0,24.0,23.0,7.0,2.0,not included
2014-15,E92000001,England,E92000001,England,National,70-74,B,51.0,1015.0,30.0,24.0,7.0,2.0,4.0,2.0,not included
2014-15,E92000001,England,E92000001,England,National,>=75,B,23.0,309.0,16.0,9.0,1.0,1.0,1.0,0.0,not included
2015-16,E92000001,England,E92000001,England,National,<20,B,8.0,153.0,15.0,17.0,2.0,0.0,0.0,0.0,not included
2015-16,E92000001,England,E92000001,England,National,20-24,B,2398.0,101500.0,5021.0,6331.0,1568.0,2072.0,44.0,66.0,not included
2015-16,E92000001,England,E92000001,England,National,25-29,B,10398.0,415790.0,18003.0,21616.0,5543.0,7584.0,157.0,321.0,not included
2015-16,E92000001,England,E92000001,England,National,30-34,B,10702.0,420271.0,12233.0,11343.0,2924.0,4100.0,109.0,289.0,not included
2015-16,E92000001,England,E92000001,England,National,35-39,B,10293.0,400290.0,9365.0,7686.0,1655.0,2282.0,86.0,188.0,not included
2015-16,E92000001,England,E92000001,England,National,40-44,B,9965.0,402619.0,8786.0,6542.0,1144.0,1435.0,78.0,136.0,not included
2015-16,E92000001,England,E92000001,England,National,45-49,B,9910.0,410139.0,8596.0,5858.0,804.0,944.0,62.0,116.0,not included
2015-16,E92000001,England,E92000001,England,National,50-54,B,7623.0,274414.0,5425.0,3598.0,488.0,487.0,39.0,54.0,not included
2015-16,E92000001,England,E92000001,England,National,55-59,B,8238.0,211734.0,3131.0,1813.0,280.0,347.0,34.0,31.0,not included
2015-16,E92000001,England,E92000001,England,National,60-64,B,7210.0,179363.0,1880.0,915.0,181.0,209.0,33.0,28.0,not included
2015-16,E92000001,England,E92000001,England,National,65-69,B,425.0,8874.0,143.0,151.0,31.0,25.0,4.0,1.0,not included
2015-16,E92000001,England,E92000001,England,National,70-74,B,37.0,681.0,19.0,29.0,2.0,9.0,0.0,0.0,not included
2015-16,E92000001,England,E92000001,England,National,>=75,B,18.0,226.0,15.0,5.0,2.0,4.0,0.0,0.0,not included
2016-17,E92000001,England,E92000001,England,National,<20,B,4.0,117.0,7.0,11.0,3.0,0.0,0.0,0.0,not included
2016-17,E92000001,England,E92000001,England,National,20-24,B,2322.0,93991.0,4012.0,5332.0,1202.0,1674.0,35.0,42.0,not included
2016-17,E92000001,England,E92000001,England,National,25-29,B,11233.0,429146.0,16860.0,20735.0,4829.0,6714.0,140.0,292.0,not included
2016-17,E92000001,England,E92000001,England,National,30-34,B,11613.0,436819.0,11721.0,11482.0,2778.0,3936.0,112.0,263.0,not included
