CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_Name,Unit_Name,Org_Type,Referral_Appointment_Time,Part,Total_referrals,Screening_sample_total,Clinical_indication,Highgrade_mod_severe,Inadequate,Borderline_changes,Mild_dyskaryosis,Moderate_dyskaryosis,Severe_dyskaryosis,Severe_dyskaryosis_Inv,Glandular_neoplasia,Clinical_Urgent,Clinical_Non_Urgent,Other
2013-14,E92000001,England,E92000001,England,England,National,Total_cases,A,199322.0,134817.0,36435.0,37353.0,1473.0,41677.0,52494.0,15716.0,21637.0,600.0,1220.0,8931.0,27504.0,28070.0
2013-14,E92000001,England,E92000001,England,England,National,<=2_weeks,A,45780.0,30151.0,11484.0,17178.0,183.0,4978.0,6114.0,6658.0,10520.0,565.0,1133.0,6283.0,5201.0,4145.0
2013-14,E92000001,England,E92000001,England,England,National,<=4_weeks,A,110438.0,75889.0,21606.0,35703.0,577.0,17040.0,20766.0,14874.0,20829.0,593.0,1210.0,8019.0,13587.0,12943.0
2013-14,E92000001,England,E92000001,England,England,National,<=8_weeks,A,193611.0,131938.0,34819.0,37261.0,1390.0,40535.0,50932.0,15671.0,21590.0,600.0,1220.0,8840.0,25979.0,26854.0
2013-14,E92000001,England,E92000001,England,England,National,<=12_weeks,A,197698.0,134002.0,35965.0,37308.0,1447.0,41381.0,52046.0,15698.0,21610.0,600.0,1220.0,8893.0,27072.0,27731.0
2014-15,E92000001,England,E92000001,England,England,National,Total_cases,A,198216.0,132311.0,40041.0,38352.0,1499.0,37499.0,53010.0,15818.0,22534.0,594.0,1357.0,11735.0,28306.0,25864.0
2014-15,E92000001,England,E92000001,England,England,National,<=2_weeks,A,61320.0,41545.0,15048.0,25409.0,214.0,6010.0,8052.0,9326.0,16083.0,575.0,1285.0,8382.0,6666.0,4727.0
2014-15,E92000001,England,E92000001,England,England,National,<=4_weeks,A,120892.0,82203.0,26100.0,37417.0,639.0,17630.0,24575.0,15327.0,22090.0,593.0,1349.0,10555.0,15545.0,12589.0
2014-15,E92000001,England,E92000001,England,England,National,<=8_weeks,A,192932.0,129676.0,38530.0,38259.0,1394.0,36415.0,51658.0,15769.0,22490.0,594.0,1356.0,11609.0,26921.0,24726.0
2014-15,E92000001,England,E92000001,England,England,National,<=12_weeks,A,196960.0,131801.0,39618.0,38299.0,1465.0,37319.0,52768.0,15788.0,22511.0,594.0,1356.0,11690.0,27928.0,25541.0
2015-16,E92000001,England,E92000001,England,England,National,Total_cases,A,188360.0,123558.0,43454.0,35025.0,1538.0,34726.0,50431.0,14550.0,20475.0,594.0,1244.0,12970.0,30484.0,21348.0
2015-16,E92000001,England,E92000001,England,England,National,<=2_weeks,A,68628.0,46704.0,17665.0,30484.0,247.0,5710.0,8480.0,12372.0,18112.0,584.0,1199.0,9929.0,7736.0,4259.0
2015-16,E92000001,England,E92000001,England,England,National,<=4_weeks,A,123278.0,82014.0,30008.0,34518.0,737.0,18401.0,26531.0,14247.0,20271.0,592.0,1235.0,11814.0,18194.0,11256.0
2015-16,E92000001,England,E92000001,England,England,National,<=8_weeks,A,186088.0,122828.0,42484.0,34980.0,1483.0,34464.0,50067.0,14532.0,20448.0,594.0,1240.0,12860.0,29624.0,20776.0
2015-16,E92000001,England,E92000001,England,England,National,<=12_weeks,A,187606.0,123344.0,43100.0,35001.0,1515.0,34649.0,50343.0,14542.0,20459.0,594.0,1242.0,12920.0,30180.0,21162.0
2016-17,E92000001,England,E92000001,England,England,National,Total_cases,A,184098.0,116314.0,48012.0,31793.0,1558.0,32323.0,48872.0,13401.0,18392.0,560.0,1208.0,13605.0,34407.0,19772.0
2016-17,E92000001,England,E92000001,England,England,National,<=2_weeks,A,72234.0,47876.0,19915.0,30087.0,285.0,6357.0,9414.0,12594.0,17493.0,556.0,1177.0,11059.0,8856.0,4443.0
2016-17,E92000001,England,E92000001,England,England,National,<=4_weeks,A,125294.0,80765.0,33701.0,31542.0,818.0,18709.0,27931.0,13284.0,18258.0,559.0,1206.0,12695.0,21006.0,10828.0
2016-17,E92000001,England,E92000001,England,England,National,<=8_weeks,A,181587.0,115513.0,46851.0,31745.0,1508.0,31968.0,48525.0,13382.0,18363.0,560.0,1207.0,13495.0,33356.0,19223.0
2016-17,E92000001,England,E92000001,England,England,National,<=12_weeks,A,183054.0,115997.0,47492.0,31782.0,1535.0,32154.0,48759.0,13395.0,18387.0,560.0,1207.0,13547.0,33945.0,19565.0
2017-18,E92000001,England,E92000001,England,England,National,Total_cases,A,175995.0,113673.0,47585.0,30958.0,1442.0,31975.0,47603.0,13007.0,17951.0,587.0,1108.0,13338.0,34247.0,14737.0
2017-18,E92000001,England,E92000001,England,England,National,<=2_weeks,A,71445.0,47972.0,19826.0,29703.0,264.0,6861.0,9469.0,12425.0,17278.0,581.0,1094.0,11143.0,8683.0,3647.0
2017-18,E92000001,England,E92000001,England,England,National,<=4_weeks,A,121901.0,80126.0,33366.0,30806.0,798.0,19126.0,27704.0,12945.0,17861.0,586.0,1106.0,12475.0,20891.0,8409.0
2017-18,E92000001,England,E92000001,England,England,National,<=8_weeks,A,173325.0,112670.0,46478.0,30933.0,1399.0,31533.0,47111.0,12989.0,17944.0,587.0,1107.0,13227.0,33251.0,14177.0
2017-18,E92000001,England,E92000001,England,England,National,<=12_weeks,A,174895.0,113260.0,47125.0,30943.0,1424.0,31754.0,47445.0,12998.0,17945.0,587.0,1107.0,13275.0,33850.0,14510.0
2018-19,E92000001,England,E92000001,England,England,National,Total_cases,A,182304.0,118745.0,49406.0,31586.0,1288.0,32892.0,51223.0,13714.0,17872.0,610.0,1146.0,13382.0,36024.0,14153.0
2018-19,E92000001,England,E92000001,England,England,National,<=2_weeks,A,69503.0,46460.0,19749.0,29961.0,210.0,5741.0,8837.0,12959.0,17002.0,599.0,1112.0,11376.0,8373.0,3294.0
2018-19,E92000001,England,E92000001,England,England,National,<=4_weeks,A,119628.0,78534.0,33232.0,31410.0,683.0,17681.0,27010.0,13633.0,17777.0,607.0,1143.0,12723.0,20509.0,7862.0
2018-19,E92000001,England,E92000001,England,England,National,<=8_weeks,A,179534.0,117604.0,48458.0,31569.0,1248.0,32557.0,50474.0,13705.0,17864.0,610.0,1146.0,13324.0,35134.0,13472.0
2018-19,E92000001,England,E92000001,England,England,National,<=12_weeks,A,181568.0,118519.0,49172.0,31575.0,1280.0,32823.0,51085.0,13710.0,17865.0,610.0,1146.0,13365.0,35807.0,13877.0
2019-20,E92000001,England,E92000001,England,England,National,Total_cases,A,191563.0,126364.0,52035.0,30925.0,1138.0,33996.0,58734.0,14192.0,16733.0,469.0,1102.0,14144.0,37891.0,13164.0
2019-20,E92000001,England,E92000001,England,England,National,<=2_weeks,A,69205.0,45685.0,20462.0,28989.0,173.0,5744.0,9252.0,13232.0,15757.0,457.0,1070.0,11970.0,8492.0,3058.0
2019-20,E92000001,England,E92000001,England,England,National,<=4_weeks,A,116309.0,76061.0,33260.0,30592.0,547.0,15937.0,27420.0,14024.0,16568.0,468.0,1097.0,13305.0,19955.0,6988.0
2019-20,E92000001,England,E92000001,England,England,National,<=8_weeks,A,185752.0,123202.0,50040.0,30899.0,1103.0,33132.0,56498.0,14180.0,16719.0,468.0,1102.0,13994.0,36046.0,12510.0
2019-20,E92000001,England,E92000001,England,England,National,<=12_weeks,A,189468.0,125182.0,51425.0,30913.0,1122.0,33701.0,57876.0,14187.0,16726.0,468.0,1102.0,14119.0,37306.0,12861.0
2020-21,E92000001,England,E92000001,England,England,National,Total_cases,A,176561.0,120482.0,42052.0,28176.0,1178.0,31372.0,58379.0,14336.0,13840.0,386.0,991.0,13861.0,28191.0,14027.0
2020-21,E92000001,England,E92000001,England,England,National,<=2_weeks,A,59834.0,39191.0,18288.0,26186.0,162.0,4491.0,7023.0,13223.0,12963.0,374.0,955.0,11433.0,6855.0,2355.0
2020-21,E92000001,England,E92000001,England,England,National,<=4_weeks,A,94271.0,61676.0,27062.0,27788.0,429.0,11882.0,20209.0,14114.0,13674.0,384.0,984.0,12894.0,14168.0,5533.0
2020-21,E92000001,England,E92000001,England,England,National,<=8_weeks,A,150658.0,102372.0,37113.0,28114.0,949.0,25461.0,46472.0,14293.0,13821.0,386.0,990.0,13571.0,23542.0,11173.0
2020-21,E92000001,England,E92000001,England,England,National,<=12_weeks,A,163083.0,111486.0,39077.0,28145.0,1066.0,28519.0,52379.0,14315.0,13830.0,386.0,991.0,13706.0,25371.0,12520.0
2021-22,E92000001,England,E92000001,England,England,National,Total_cases,A,235223.0,159217.0,48824.0,35391.0,1436.0,39068.0,81671.0,19203.0,16188.0,500.0,1151.0,16029.0,32795.0,27182.0
2021-22,E92000001,England,E92000001,England,England,National,<=2_weeks,A,69727.0,47154.0,18980.0,33176.0,134.0,4424.0,7831.0,17961.0,15215.0,478.0,1111.0,12748.0,6232.0,3593.0
2021-22,E92000001,England,E92000001,England,England,National,<=4_weeks,A,112303.0,74608.0,28358.0,35036.0,437.0,12690.0,24804.0,18985.0,16051.0,498.0,1143.0,14571.0,13787.0,9337.0
2021-22,E92000001,England,E92000001,England,England,National,<=8_weeks,A,205793.0,140203.0,43172.0,35333.0,1195.0,33744.0,68281.0,19167.0,16166.0,499.0,1151.0,15479.0,27693.0,22418.0
2021-22,E92000001,England,E92000001,England,England,National,<=12_weeks,A,220725.0,149830.0,46022.0,35356.0,1310.0,36617.0,74896.0,19185.0,16171.0,500.0,1151.0,15638.0,30384.0,24873.0
2022-23,E92000001,England,E92000001,England,England,National,Total_cases,A,246762.0,160037.0,48005.0,30624.0,1643.0,43312.0,83023.0,18089.0,12535.0,412.0,1023.0,15673.0,32332.0,38720.0
2022-23,E92000001,England,E92000001,England,England,National,<=2_weeks,A,61953.0,40523.0,17619.0,28536.0,146.0,3914.0,6554.0,16870.0,11666.0,396.0,977.0,12287.0,5332.0,3811.0
2022-23,E92000001,England,E92000001,England,England,National,<=4_weeks,A,104865.0,67546.0,26147.0,30316.0,467.0,12492.0,22843.0,17919.0,12397.0,411.0,1017.0,14331.0,11816.0,11172.0
2022-23,E92000001,England,E92000001,England,England,National,<=8_weeks,A,210017.0,137483.0,40107.0,30570.0,1344.0,36796.0,67340.0,18056.0,12514.0,411.0,1022.0,15281.0,24826.0,32427.0
2022-23,E92000001,England,E92000001,England,England,National,<=12_weeks,A,228107.0,148895.0,43806.0,30594.0,1493.0,40171.0,75203.0,18066.0,12528.0,411.0,1023.0,15485.0,28321.0,35406.0
2023-24,E92000001,England,E92000001,England,England,National,Total_cases,A,251251.0,159167.0,47866.0,26202.0,1881.0,47039.0,82737.0,16399.0,9803.0,469.0,839.0,16394.0,31472.0,44218.0
2023-24,E92000001,England,E92000001,England,England,National,<=2_weeks,A,65910.0,42131.0,18336.0,24215.0,219.0,6127.0,10317.0,15159.0,9056.0,451.0,802.0,12407.0,5929.0,5443.0
2023-24,E92000001,England,E92000001,England,England,National,<=4_weeks,A,112158.0,70852.0,26643.0,25886.0,636.0,15815.0,27218.0,16214.0,9672.0,465.0,832.0,14952.0,11691.0,14663.0
2023-24,E92000001,England,E92000001,England,England,National,<=8_weeks,A,212804.0,136506.0,39804.0,26141.0,1528.0,39478.0,68053.0,16362.0,9779.0,467.0,839.0,15922.0,23882.0,36494.0
2023-24,E92000001,England,E92000001,England,England,National,<=12_weeks,A,228528.0,146457.0,42886.0,26171.0,1647.0,42826.0,74507.0,16379.0,9792.0,467.0,839.0,16126.0,26760.0,39185.0
2023-24,N1,North East and Yorkshire,N1,North East and Yorkshire,North East and Yorkshire,Region,Total_cases,A,38138.0,21296.0,7342.0,3872.0,423.0,6860.0,9849.0,2788.0,1084.0,93.0,199.0,2922.0,4420.0,9500.0
2023-24,N1,North East and Yorkshire,N1,North East and Yorkshire,North East and Yorkshire,Region,<=2_weeks,A,9706.0,5974.0,2802.0,3661.0,33.0,799.0,1200.0,2634.0,1027.0,87.0,194.0,2234.0,568.0,930.0
2023-24,N1,North East and Yorkshire,N1,North East and Yorkshire,North East and Yorkshire,Region,<=4_weeks,A,16022.0,9500.0,4089.0,3861.0,96.0,1913.0,3339.0,2778.0,1083.0,92.0,199.0,2670.0,1419.0,2433.0
2023-24,N1,North East and Yorkshire,N1,North East and Yorkshire,North East and Yorkshire,Region,<=8_weeks,A,29245.0,16452.0,6228.0,3869.0,285.0,4921.0,7086.0,2785.0,1084.0,92.0,199.0,2814.0,3414.0,6565.0
2023-24,N1,North East and Yorkshire,N1,North East and Yorkshire,North East and Yorkshire,Region,<=12_weeks,A,31272.0,17447.0,6565.0,3870.0,313.0,5305.0,7668.0,2786.0,1084.0,92.0,199.0,2849.0,3716.0,7260.0
2023-24,N2,North West,N2,North West,North West,Region,Total_cases,A,33658.0,17057.0,7754.0,2920.0,309.0,4658.0,9064.0,1471.0,1449.0,21.0,85.0,2234.0,5520.0,8847.0
2023-24,N2,North West,N2,North West,North West,Region,<=2_weeks,A,8768.0,4611.0,3129.0,2611.0,43.0,660.0,1202.0,1323.0,1288.0,20.0,75.0,1765.0,1364.0,1028.0
2023-24,N2,North West,N2,North West,North West,Region,<=4_weeks,A,15562.0,8159.0,4600.0,2828.0,120.0,1775.0,3334.0,1432.0,1396.0,21.0,81.0,2012.0,2588.0,2803.0
2023-24,N2,North West,N2,North West,North West,Region,<=8_weeks,A,28720.0,15560.0,6294.0,2895.0,277.0,4151.0,8131.0,1457.0,1438.0,21.0,85.0,2157.0,4137.0,6866.0
2023-24,N2,North West,N2,North West,North West,Region,<=12_weeks,A,30185.0,16211.0,6584.0,2911.0,291.0,4360.0,8543.0,1464.0,1447.0,21.0,85.0,2178.0,4406.0,7390.0
2023-24,N3,Midlands,N3,Midlands,Midlands,Region,Total_cases,A,39380.0,23324.0,6014.0,3676.0,171.0,9071.0,10199.0,1995.0,1681.0,90.0,117.0,2995.0,3019.0,10042.0
2023-24,N3,Midlands,N3,Midlands,Midlands,Region,<=2_weeks,A,10358.0,5618.0,3340.0,3287.0,28.0,973.0,1130.0,1753.0,1534.0,87.0,113.0,2347.0,993.0,1400.0
2023-24,N3,Midlands,N3,Midlands,Midlands,Region,<=4_weeks,A,18855.0,10824.0,4338.0,3626.0,72.0,3188.0,3732.0,1962.0,1664.0,90.0,116.0,2698.0,1640.0,3693.0
2023-24,N3,Midlands,N3,Midlands,Midlands,Region,<=8_weeks,A,36330.0,21898.0,5289.0,3671.0,160.0,8405.0,9455.0,1992.0,1679.0,90.0,117.0,2833.0,2456.0,9143.0
2023-24,N3,Midlands,N3,Midlands,Midlands,Region,<=12_weeks,A,38327.0,22951.0,5666.0,3673.0,165.0,8885.0,10021.0,1993.0,1680.0,90.0,117.0,2918.0,2748.0,9710.0
2023-24,N4,East of England,N4,East of England,East of England,Region,Total_cases,A,26002.0,14525.0,3684.0,2983.0,204.0,4276.0,6918.0,1542.0,1441.0,33.0,111.0,1147.0,2537.0,7793.0
2023-24,N4,East of England,N4,East of England,East of England,Region,<=2_weeks,A,6223.0,4405.0,1009.0,2777.0,20.0,602.0,867.0,1438.0,1339.0,32.0,107.0,772.0,237.0,809.0
2023-24,N4,East of England,N4,East of England,East of England,Region,<=4_weeks,A,12161.0,7630.0,1800.0,2964.0,78.0,1700.0,2745.0,1534.0,1430.0,33.0,110.0,1051.0,749.0,2731.0
2023-24,N4,East of England,N4,East of England,East of England,Region,<=8_weeks,A,24873.0,14187.0,3253.0,2983.0,199.0,4147.0,6714.0,1542.0,1441.0,33.0,111.0,1133.0,2120.0,7433.0
2023-24,N4,East of England,N4,East of England,East of England,Region,<=12_weeks,A,25462.0,14362.0,3473.0,2983.0,203.0,4207.0,6825.0,1542.0,1441.0,33.0,111.0,1139.0,2334.0,7627.0
2023-24,N5,London,N5,London,London,Region,Total_cases,A,54358.0,38407.0,13640.0,5068.0,433.0,9276.0,23403.0,3385.0,1683.0,77.0,150.0,3440.0,10200.0,2311.0
2023-24,N5,London,N5,London,London,Region,<=2_weeks,A,14162.0,9744.0,3982.0,4899.0,57.0,1356.0,3210.0,3264.0,1635.0,76.0,146.0,2547.0,1435.0,436.0
