CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_Name,Org_Type,Referral_type,Part,All_samples,Cervical_cancer,CIN3_and_adeno_in_situ,CIN2,CIN1,HPV_only,No_CIN_No_HPV,Non_cerv_cancer_detected,Seen_Colp_result_unknown,Inadequate_biopsy,Seen_Colp_NAD_no_biop
2022-23,E92000001,England,E92000001,England,National,category_1_8_3_result,C2,132391.0,99.0,3704.0,8367.0,29541.0,17440.0,8006.0,3.0,1183.0,1256.0,56966.0
2022-23,E92000001,England,E92000001,England,National,category_7_4_5_6_result,C2,33117.0,959.0,15070.0,9083.0,4521.0,1460.0,909.0,4.0,66.0,51.0,452.0
2023-24,E92000001,England,E92000001,England,National,category_1_8_3_result,C1,31222.0,22.0,818.0,1851.0,6708.0,4022.0,1763.0,0.0,122.0,293.0,14037.0
2023-24,E92000001,England,E92000001,England,National,category_7_4_5_6_result,C1,6595.0,222.0,2985.0,1785.0,899.0,271.0,181.0,2.0,18.0,13.0,119.0
2022-23,N1,North East and Yorkshire,N1,North East and Yorkshire,Region,category_1_8_3_result,C2,17513.0,12.0,373.0,1032.0,3704.0,1556.0,1470.0,0.0,0.0,164.0,8722.0
2022-23,N1,North East and Yorkshire,N1,North East and Yorkshire,Region,category_7_4_5_6_result,C2,5195.0,138.0,2114.0,1610.0,781.0,201.0,186.0,0.0,0.0,16.0,79.0
2022-23,N2,North West,N2,North West,Region,category_1_8_3_result,C2,14118.0,9.0,305.0,804.0,2237.0,1674.0,334.0,0.0,593.0,148.0,7421.0
2022-23,N2,North West,N2,North West,Region,category_7_4_5_6_result,C2,3369.0,121.0,1743.0,901.0,305.0,143.0,35.0,0.0,21.0,4.0,34.0
2022-23,N3,Midlands,N3,Midlands,Region,category_1_8_3_result,C2,20002.0,19.0,846.0,1201.0,2966.0,2214.0,1171.0,0.0,389.0,179.0,9045.0
2022-23,N3,Midlands,N3,Midlands,Region,category_7_4_5_6_result,C2,4782.0,206.0,2827.0,925.0,340.0,176.0,134.0,0.0,18.0,4.0,46.0
2022-23,N4,East of England,N4,East of England,Region,category_1_8_3_result,C2,11630.0,15.0,426.0,662.0,1685.0,1042.0,529.0,0.0,39.0,39.0,6870.0
2022-23,N4,East of England,N4,East of England,Region,category_7_4_5_6_result,C2,3421.0,114.0,1828.0,779.0,334.0,113.0,122.0,0.0,12.0,2.0,52.0
2022-23,N5,London,N5,London,Region,category_1_8_3_result,C2,35723.0,26.0,745.0,2433.0,9425.0,6064.0,2003.0,2.0,137.0,298.0,12838.0
2022-23,N5,London,N5,London,Region,category_7_4_5_6_result,C2,7353.0,138.0,2375.0,2284.0,1585.0,463.0,192.0,0.0,12.0,16.0,174.0
2022-23,N6,South East,N6,South East,Region,category_1_8_3_result,C2,26199.0,11.0,631.0,1503.0,7170.0,3473.0,2014.0,1.0,15.0,356.0,10325.0
2022-23,N6,South East,N6,South East,Region,category_7_4_5_6_result,C2,7137.0,171.0,3120.0,2083.0,1041.0,333.0,214.0,3.0,3.0,8.0,58.0
2022-23,N7,South West,N7,South West,Region,category_1_8_3_result,C2,7206.0,7.0,378.0,732.0,2354.0,1417.0,485.0,0.0,10.0,72.0,1745.0
2022-23,N7,South West,N7,South West,Region,category_7_4_5_6_result,C2,1860.0,71.0,1063.0,501.0,135.0,31.0,26.0,1.0,0.0,1.0,9.0
2023-24,N1,North East and Yorkshire,N1,North East and Yorkshire,Region,category_1_8_3_result,C1,3877.0,2.0,76.0,209.0,766.0,323.0,249.0,0.0,0.0,34.0,2097.0
