CollectionYearRange,Region_Code,Region_Name,Org_ONS_Code,Org_Name,Org_Type,Eligible_PHOF_25_64,Screened_PHOF_42_66mth,Coverage_PHOF_25_64,Eligible_PHOF_25_49,Screened_PHOF_42mth,Coverage_PHOF_25_49,Eligible_PHOF_50_64,Screened_PHOF_66mth,Coverage_PHOF_50_64
2013-14,E92000001,England,E92000001,England,National,13954489,10348915,74.1619058927919,9627301,6914742,71.82430465194763,4327188,3434173,79.36269466452578
2014-15,E92000001,England,E92000001,England,National,14165803,10405033,73.45176973024402,9713476,6912810,71.1672114081509,4452327,3492223,78.43590553883396
2015-16,E92000001,England,E92000001,England,National,14398174,10464175,72.67709780420766,9817744,6890379,70.18291574928008,4580430,3573796,78.02315503129618
2016-17,E92000001,England,E92000001,England,National,14671118,10569162,72.04060385854712,9955943,6928519,69.59179055163332,4715175,3640643,77.21119576685913
2017-18,E92000001,England,E92000001,England,National,14933811,10665337,71.41738301094075,10088048,6970957,69.10114821023849,4845763,3694380,76.23938686229599
2018-19,E92000001,England,E92000001,England,National,15190689,10921987,71.89922063442941,10215123,7129579,69.79435294122254,4975566,3792408,76.22063499911367
2019-20,E92000001,England,E92000001,England,National,15467216,11163675,72.17636968411122,10367918,7281502,70.2310917196683,5099298,3882173,76.13151849529092
2020-21,E92000001,England,E92000001,England,National,15654049,10992182,70.21941735329945,10427251,7089096,67.98624105241161,5226798,3903086,74.67451391846403
2021-22,E92000001,England,E92000001,England,National,15949645,11154009,69.93264740375099,10597953,7160733,67.56713301144099,5351692,3993276,74.61707437573014
2022-23,E92000001,England,E92000001,England,National,16238915,11156887,68.7046332836892,10806796,7113333,65.8227748538975,5432119,4043554,74.43787590073046
2023-24,E92000001,England,E92000001,England,National,16538084,11378008,68.79882820766903,11055782,7306325,66.08600820819368,5482302,4071683,74.26958602426498
2022-23,E12000001,North East,E12000001,North East,Region,706640,512555,72.53410506056832,447137,316481,70.77942554519085,259503,196074,75.5575080056878
2022-23,E12000003,Yorkshire and The Humber,E12000003,Yorkshire and The Humber,Region,1481770,1054230,71.146669186176,963262,659980,68.515108039142,518508,394250,76.03547100526896
2022-23,E12000002,North West,E12000002,North West,Region,2049382,1417860,69.18475911274716,1340504,897139,66.9254996628134,708878,520721,73.45706877629155
2022-23,E12000004,East Midlands,E12000004,East Midlands,Region,1318605,937811,71.12145032060397,847757,578925,68.28902621859801,470848,358886,76.22120089710481
2022-23,E12000005,West Midlands,E12000005,West Midlands,Region,1623338,1105610,68.1071964064169,1067172,694541,65.08238596964688,556166,411069,73.91120636644455
2022-23,E12000006,East of England,E12000006,East of England,Region,1840296,1316190,71.52055973604247,1203838,832507,69.15440449628605,636458,483683,75.9960594414714
2022-23,E12000007,London,E12000007,London,Region,3221739,1975397,61.3146192165163,2384704,1383854,58.03043061109471,837035,591543,70.6712383592084
2022-23,E12000008,South East,E12000008,South East,Region,1750601,1228968,70.20263326708942,1130898,766596,67.78648472276015,619703,462372,74.61187052507411
2022-23,E12000009,South West,E12000009,South West,Region,2246544,1608266,71.588448746163,1421524,983310,69.1729439671789,825020,624956,75.75040605076241
2023-24,E12000001,North East,E12000001,North East,Region,715169,518446,72.49279540919699,456201,323435,70.89747720851116,258968,195011,75.30312625498131
2023-24,E12000003,Yorkshire and The Humber,E12000003,Yorkshire and The Humber,Region,1503065,1072504,71.35446570840249,981364,677022,68.98785771640289,521701,395482,75.8062568406041
2023-24,E12000002,North West,E12000002,North West,Region,2087967,1444739,69.19357441951908,1374191,922602,67.13782872977629,713776,522137,73.15138082535697
2023-24,E12000004,East Midlands,E12000004,East Midlands,Region,1343323,952607,70.91421795055992,868279,592501,68.2385500513084,475044,360106,75.80476755837354
2023-24,E12000005,West Midlands,E12000005,West Midlands,Region,1662482,1131842,68.0814589270741,1101361,718447,65.23265305381251,561121,413395,73.67305803917516
2023-24,E12000006,East of England,E12000006,East of England,Region,1874069,1343642,71.69650637196389,1230363,854278,69.43300473112407,643706,489364,76.02290486650737
2023-24,E12000007,London,E12000007,London,Region,3296891,2029680,61.56345478209623,2444965,1427297,58.376991081671925,851926,602383,70.70837138436906
2023-24,E12000008,South East,E12000008,South East,Region,1778079,1254275,70.54101645652415,1151780,787328,68.35749882790117,626299,466947,74.55656164228269
2023-24,E12000009,South West,E12000009,South West,Region,2277039,1630273,71.59618258624468,1447278,1003415,69.33118585371987,829761,626858,75.54681408260933
2022-23,E12000001,North East,E06000047,County Durham,LA,133854,101040,75.48523017616209,81144,60685,74.786798777482,52710,40355,76.56042496679947
2022-23,E12000001,North East,E06000005,Darlington,LA,28786,21462,74.55707635656222,18161,13287,73.16227080006608,10625,8175,76.94117647058823
2022-23,E12000001,North East,E08000037,Gateshead,LA,53128,39204,73.79159765095619,33950,24697,72.74521354933727,19178,14507,75.64396704557306
2022-23,E12000001,North East,E06000001,Hartlepool,LA,24460,17641,72.12183156173344,15204,10911,71.7640094711918,9256,6730,72.7095937770095
2022-23,E12000001,North East,E06000002,Middlesbrough,LA,40843,25766,63.08547364297432,28023,16802,59.95789173179175,12820,8964,69.9219968798752
2022-23,E12000001,North East,E08000021,Newcastle upon Tyne,LA,85713,54527,63.615787570146885,61739,36810,59.62195694779637,23974,17717,73.9008926336865
2022-23,E12000001,North East,E08000022,North Tyneside,LA,57004,42908,75.27191074310575,36262,27118,74.78351993822734,20742,15790,76.1257352232186
2022-23,E12000001,North East,E06000057,Northumberland,LA,80507,61187,76.00208677506303,45813,34341,74.95907275227556,34694,26846,77.37937395515074
2022-23,E12000001,North East,E06000003,Redcar and Cleveland,LA,34828,25877,74.29941426438498,20624,15244,73.91388673390225,14204,10633,74.85919459307237
2022-23,E12000001,North East,E08000023,South Tyneside,LA,39459,29412,74.53812818368432,24796,18385,74.1450233908695,14663,11027,75.20289163199891
2022-23,E12000001,North East,E06000004,Stockton-on-Tees,LA,52218,38446,73.62595273660423,33362,24301,72.84035729272826,18856,14145,75.01591005515486
2022-23,E12000001,North East,E08000024,Sunderland,LA,75840,55085,72.63317510548524,48059,33900,70.53829667700118,27781,21185,76.25715417011627
2022-23,E12000003,Yorkshire and The Humber,E08000016,Barnsley,LA,66416,49738,74.88858106480366,41619,30647,73.6370407746462,24797,19091,76.98915191353792
2022-23,E12000003,Yorkshire and The Humber,E08000032,Bradford,LA,149129,97942,65.6760254544723,102989,64102,62.241598617328066,46140,33840,73.34200260078023
