CollectionYearRange,Parent_Org_ONS_Code,Parent_Org_Name,Org_ONS_Code,Org_Name,Org_Type,TOTAL_LETTERS,EDD_WITHIN_14_DAYS,EDD_IN_15_TO_21_DAYS,EDD_IN_AT_LEAST_22_DAYS
2023-24,E92000001,England,E92000001,England,National,3153535.0,2806634.0,198899.0,148002.0
2023-24,E12000001,North East,E12000001,North East,Region,144222.0,130145.0,10967.0,3110.0
2023-24,E12000003,Yorkshire and The Humber,E12000003,Yorkshire and The Humber,Region,294387.0,264674.0,23751.0,5962.0
2023-24,E12000002,North West,E12000002,North West,Region,416979.0,320327.0,32588.0,64064.0
2023-24,E12000004,East Midlands,E12000004,East Midlands,Region,254016.0,229545.0,22187.0,2284.0
2023-24,E12000005,West Midlands,E12000005,West Midlands,Region,311471.0,297627.0,12731.0,1113.0
2023-24,E12000006,East of England,E12000006,East of England,Region,378368.0,350575.0,15914.0,11879.0
2023-24,E12000007,London,E12000007,London,Region,581665.0,510629.0,46290.0,24746.0
2023-24,E12000008,South East,E12000008,South East,Region,333568.0,293625.0,18674.0,21269.0
2023-24,E12000009,South West,E12000009,South West,Region,434721.0,406114.0,15348.0,13259.0
2023-24,E12000001,North East,E06000047,County Durham,LA,27890.0,25132.0,2143.0,615.0
2023-24,E12000001,North East,E06000005,Darlington,LA,6227.0,5634.0,461.0,132.0
2023-24,E12000001,North East,E08000037,Gateshead,LA,11104.0,10297.0,610.0,197.0
2023-24,E12000001,North East,E06000001,Hartlepool,LA,5135.0,4552.0,443.0,140.0
2023-24,E12000001,North East,E06000002,Middlesbrough,LA,7699.0,6835.0,681.0,183.0
2023-24,E12000001,North East,E08000021,Newcastle upon Tyne,LA,16429.0,14702.0,1357.0,370.0
2023-24,E12000001,North East,E08000022,North Tyneside,LA,11817.0,10643.0,917.0,257.0
2023-24,E12000001,North East,E06000057,Northumberland,LA,15853.0,14320.0,1189.0,344.0
2023-24,E12000001,North East,E06000003,Redcar and Cleveland,LA,7047.0,6387.0,519.0,141.0
2023-24,E12000001,North East,E08000023,South Tyneside,LA,8118.0,7411.0,547.0,160.0
2023-24,E12000001,North East,E06000004,Stockton-on-Tees,LA,10764.0,9646.0,906.0,212.0
2023-24,E12000001,North East,E08000024,Sunderland,LA,16139.0,14586.0,1194.0,359.0
2023-24,E12000003,Yorkshire and The Humber,E08000016,Barnsley,LA,13561.0,12269.0,1024.0,268.0
2023-24,E12000003,Yorkshire and The Humber,E08000032,Bradford,LA,28187.0,25421.0,2256.0,510.0
2023-24,E12000003,Yorkshire and The Humber,E08000033,Calderdale,LA,11246.0,9847.0,1124.0,275.0
2023-24,E12000003,Yorkshire and The Humber,E08000017,Doncaster,LA,16333.0,14502.0,1484.0,347.0
2023-24,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,LA,18221.0,16404.0,1472.0,345.0
2023-24,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",LA,14412.0,12618.0,1453.0,341.0
2023-24,E12000003,Yorkshire and The Humber,E08000034,Kirklees,LA,23825.0,21435.0,1891.0,499.0
2023-24,E12000003,Yorkshire and The Humber,E08000035,Leeds,LA,45348.0,40992.0,3428.0,928.0
2023-24,E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,LA,8248.0,7326.0,738.0,184.0
2023-24,E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,LA,8386.0,7495.0,694.0,197.0
2023-24,E12000003,Yorkshire and The Humber,E06000065,North Yorkshire,LA,32265.0,29241.0,2382.0,642.0
2023-24,E12000003,Yorkshire and The Humber,E08000018,Rotherham,LA,14577.0,13140.0,1183.0,254.0
2023-24,E12000003,Yorkshire and The Humber,E08000019,Sheffield,LA,30253.0,27328.0,2337.0,588.0
2023-24,E12000003,Yorkshire and The Humber,E08000036,Wakefield,LA,19030.0,16971.0,1659.0,400.0
2023-24,E12000003,Yorkshire and The Humber,E06000014,York,LA,10495.0,9685.0,626.0,184.0
2023-24,E12000002,North West,E06000008,Blackburn with Darwen,LA,7653.0,6047.0,560.0,1046.0
2023-24,E12000002,North West,E06000009,Blackpool,LA,7080.0,5302.0,556.0,1222.0
2023-24,E12000002,North West,E08000001,Bolton,LA,16006.0,12727.0,1100.0,2179.0
