Month,Quarter,Region_Code,Region_Name,Parent_Name,Org_ONS_Code,Org_Code,Org_Name,Age,Eligible,Screened,Coverage(%),No. screens to reach target,National Rank,Total_Orgs,National_Coverage(%),Coverage_Change
2021-06-30,2021-22 Q1,E40000009,North East and Yorkshire,SOUTH YORKSHIRE AND BASSETLAW STP,E38000006,02P,NHS BARNSLEY CCG,25-49,42073,32011,76.08442469,1648,14,106,69.2,0.8245888971
2021-06-30,2021-22 Q1,E40000007,East of England,MID AND SOUTH ESSEX STP,E38000007,99E,NHS BASILDON AND BRENTWOOD CCG,25-49,47828,35815,74.882913774,2448,25,106,69.2,0.8620451547
2021-06-30,2021-22 Q1,E40000009,North East and Yorkshire,SOUTH YORKSHIRE AND BASSETLAW STP,E38000008,02Q,NHS BASSETLAW CCG,25-49,18051,13355,73.984820786,1086,39,106,69.2,-0.486851876
2021-06-30,2021-22 Q1,E40000006,South West,BATH AND NORTH EAST SOMERSET  SWINDON AND WILTSHIRE STP,E38000231,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",25-49,152746,112441,73.61305697,9756,42,106,69.2,0.2383335465
2021-06-30,2021-22 Q1,E40000007,East of England,BEDFORDSHIRE  LUTON AND MILTON KEYNES STP,E38000249,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",25-49,189351,128404,67.812686492,23077,88,106,69.2,
2021-06-30,2021-22 Q1,E40000005,South East,BUCKINGHAMSHIRE  OXFORDSHIRE AND BERKSHIRE WEST STP,E38000221,15A,NHS BERKSHIRE WEST CCG,25-49,99073,67787,68.421265128,11472,85,106,69.2,0.1160136087
2021-06-30,2021-22 Q1,E40000008,Midlands,BIRMINGHAM AND SOLIHULL STP,E38000220,15E,NHS BIRMINGHAM AND SOLIHULL CCG,25-49,227746,147816,64.903884152,34381,98,106,69.2,-0.207947119
2021-06-30,2021-22 Q1,E40000008,Midlands,THE BLACK COUNTRY AND WEST BIRMINGHAM STP,E38000250,D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,25-49,251793,165092,65.566556656,36343,96,106,69.2,
2021-06-30,2021-22 Q1,E40000010,North West,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,E38000014,00Q,NHS BLACKBURN WITH DARWEN CCG,25-49,29531,19049,64.505096339,4576,101,106,69.2,-3.159104894
2021-06-30,2021-22 Q1,E40000010,North West,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,E38000015,00R,NHS BLACKPOOL CCG,25-49,26447,18373,69.471017507,2785,81,106,69.2,-0.226871125
